iter	Passed	Remaining
0	41	8292
1	70	6957
2	119	7865
3	161	7915
4	197	7704
5	221	7175
6	235	6503
7	254	6104
8	329	6982
9	355	6748
10	390	6702
11	403	6316
12	419	6027
13	433	5754
14	452	5586
15	477	5493
16	506	5456
17	522	5287
18	538	5131
19	558	5022
20	577	4921
21	592	4793
22	607	4673
23	622	4565
24	638	4468
25	656	4390
26	685	4391
27	703	4319
28	720	4249
29	736	4172
30	753	4106
31	773	4061
32	790	3999
33	804	3927
34	818	3860
35	834	3800
36	849	3743
37	870	3709
38	931	3844
39	964	3859
40	1000	3880
41	1034	3889
42	1056	3859
43	1077	3820
44	1102	3796
45	1118	3743
46	1132	3687
47	1148	3638
48	1164	3588
49	1183	3551
50	1198	3502
51	1213	3452
52	1228	3407
53	1243	3362
54	1258	3317
55	1284	3303
56	1318	3308
57	1466	3590
58	1536	3671
59	1596	3724
60	1617	3685
61	1632	3633
62	1648	3584
63	1663	3535
64	1679	3487
65	1732	3518
66	1920	3812
67	1960	3806
68	1999	3795
69	2049	3807
70	2101	3817
71	2147	3818
72	2189	3808
73	2220	3780
74	2338	3898
75	2383	3888
76	2406	3844
77	2425	3794
78	2450	3752
79	2473	3710
80	2488	3656
81	2503	3603
82	2519	3551
83	2533	3499
84	2551	3451
85	2574	3413
86	2591	3366
87	2619	3333
88	2636	3288
89	2657	3248
90	2677	3206
91	2702	3172
92	2729	3139
93	2756	3108
94	2788	3082
95	2833	3069
96	2869	3047
97	2891	3009
98	2914	2973
99	2941	2941
100	2968	2909
101	2989	2872
102	3015	2839
103	3039	2805
104	3089	2795
105	3108	2756
106	3129	2720
107	3151	2684
108	3171	2647
109	3191	2611
110	3210	2574
111	3251	2555
112	3292	2534
113	3331	2513
114	3353	2478
115	3373	2442
116	3392	2406
117	3411	2370
118	3434	2337
119	3461	2307
120	3489	2278
121	3506	2242
122	3522	2205
123	3536	2167
124	3551	2130
125	3564	2093
126	3576	2055
127	3588	2018
128	3602	1982
129	3614	1946
130	3627	1910
131	3642	1876
132	3655	1841
133	3671	1808
134	3688	1775
135	3702	1742
136	3717	1709
137	3736	1678
138	3755	1648
139	3771	1616
140	3786	1584
141	3807	1555
142	3819	1522
143	3837	1492
144	3852	1461
145	3866	1430
146	3888	1401
147	3903	1371
148	3917	1340
149	3934	1311
150	3948	1281
151	3961	1250
152	3972	1220
153	3984	1190
154	3998	1160
155	4012	1131
156	4026	1102
157	4040	1074
158	4052	1045
159	4066	1016
160	4082	988
161	4098	961
162	4120	935
163	4138	908
164	4150	880
165	4163	852
166	4221	834
167	4251	809
168	4265	782
169	4279	755
170	4292	727
171	4308	701
172	4329	675
173	4360	651
174	4395	627
175	4521	616
176	4540	590
177	4572	565
178	4608	540
179	4630	514
180	4661	489
181	4695	464
182	4717	438
183	4742	412
184	4760	385
185	4787	360
186	4833	336
187	4857	310
188	4872	283
189	4890	257
190	4941	232
191	4983	207
192	5062	183
193	5132	158
194	5167	132
195	5197	106
196	5217	79
197	5228	52
198	5240	26
199	5253	0
